"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"03.06.2025","4,95","4,89","4,99","4,85","8,45M","0,81%"
"02.06.2025","4,91","5,06","5,06","4,89","11,48M","-2,77%"
"30.05.2025","5,05","5,13","5,13","4,99","9,30M","-1,56%"
"29.05.2025","5,13","5,15","5,21","5,12","5,65M","0,20%"
"28.05.2025","5,12","5,18","5,18","5,07","8,28M","-1,54%"
"27.05.2025","5,20","5,38","5,43","5,20","19,54M","-5,80%"
"26.05.2025","5,52","5,43","5,52","5,41","2,45M","0,73%"
"23.05.2025","5,48","5,46","5,48","5,40","5,96M","-0,18%"
"22.05.2025","5,49","5,46","5,58","5,45","8,72M","0,00%"
"21.05.2025","5,49","5,60","5,60","5,46","5,40M","-2,31%"
"20.05.2025","5,62","5,59","5,67","5,54","6,74M","0,00%"
"19.05.2025","5,62","5,68","5,71","5,59","5,37M","-1,06%"
"16.05.2025","5,68","5,60","5,73","5,54","6,10M","0,35%"
"15.05.2025","5,66","5,65","5,73","5,60","5,84M","0,53%"
"14.05.2025","5,63","5,80","5,83","5,62","8,04M","-5,22%"
"13.05.2025","5,94","5,90","5,97","5,77","10,70M","4,90%"
"12.05.2025","5,66","5,81","5,86","5,57","11,08M","0,85%"
"09.05.2025","5,61","5,90","5,92","5,45","15,40M","-4,72%"
"08.05.2025","5,89","5,96","6,00","5,83","6,10M","0,00%"
"07.05.2025","5,89","5,98","5,99","5,87","6,24M","-4,18%"
"06.05.2025","6,15","6,07","6,27","6,05","5,16M","1,32%"
"05.05.2025","6,07","6,08","6,20","5,97","4,65M","-0,16%"
"02.05.2025","6,08","6,15","6,17","6,02","6,52M","-0,98%"
"30.04.2025","6,14","6,10","6,19","6,06","6,56M","-0,49%"
"29.04.2025","6,17","6,17","6,20","6,10","5,57M","0,16%"
"28.04.2025","6,16","6,20","6,20","6,04","4,67M","-0,32%"
"25.04.2025","6,18","6,28","6,33","6,13","5,92M","-2,52%"
"24.04.2025","6,34","6,12","6,39","6,11","8,06M","4,45%"
"23.04.2025","6,07","5,90","6,15","5,87","10,29M","5,75%"
"22.04.2025","5,74","5,65","5,75","5,47","11,42M","1,59%"
"17.04.2025","5,65","5,70","5,73","5,62","6,82M","-1,22%"
"16.04.2025","5,72","5,91","5,92","5,68","9,74M","-3,87%"
"15.04.2025","5,95","6,05","6,12","5,85","5,33M","-2,14%"
"14.04.2025","6,08","5,87","6,12","5,87","6,81M","4,65%"
"11.04.2025","5,81","5,71","5,89","5,69","5,39M","1,93%"
"10.04.2025","5,70","5,76","5,76","5,57","7,74M","-0,70%"
"09.04.2025","5,74","5,38","5,84","5,38","13,19M","5,71%"
"08.04.2025","5,43","5,73","5,78","5,38","8,71M","-4,23%"
"07.04.2025","5,67","5,50","5,80","5,44","8,65M","0,35%"
"04.04.2025","5,65","5,65","5,67","5,52","8,45M","-3,25%"
"03.04.2025","5,84","5,87","5,94","5,81","6,89M","-2,01%"
"02.04.2025","5,96","6,11","6,12","5,88","8,33M","-2,45%"
"01.04.2025","6,11","6,20","6,26","6,03","7,03M","-1,29%"
"31.03.2025","6,19","6,20","6,26","6,15","7,29M","-1,75%"
"28.03.2025","6,30","6,25","6,30","6,15","5,19M","-0,16%"
"27.03.2025","6,31","6,39","6,40","6,26","5,34M","-1,41%"
"26.03.2025","6,40","6,35","6,40","6,28","5,11M","1,11%"
"25.03.2025","6,33","6,40","6,40","6,30","5,06M","-0,78%"
"24.03.2025","6,38","6,37","6,43","6,34","6,52M","0,00%"
"21.03.2025","6,38","6,47","6,51","6,24","14,50M","-0,47%"
"20.03.2025","6,41","6,34","6,47","6,30","6,54M","0,16%"
"19.03.2025","6,40","6,17","6,44","6,17","8,13M","2,40%"
"18.03.2025","6,25","6,27","6,29","6,10","6,46M","-0,64%"
"17.03.2025","6,29","6,15","6,29","6,11","7,34M","2,28%"
"14.03.2025","6,15","5,81","6,19","5,78","11,45M","6,77%"
"13.03.2025","5,76","5,61","5,93","5,58","24,64M","9,09%"
"12.03.2025","5,28","5,23","5,28","5,16","6,40M","0,19%"
"11.03.2025","5,27","5,46","5,47","5,18","7,17M","-3,13%"
"10.03.2025","5,44","5,45","5,53","5,33","7,85M","-0,91%"
"07.03.2025","5,49","5,39","5,55","5,27","6,85M","0,18%"
"06.03.2025","5,48","5,30","5,56","5,30","10,22M","3,59%"
"05.03.2025","5,29","5,16","5,32","5,10","6,70M","3,73%"
"28.02.2025","5,10","5,30","5,30","5,09","6,36M","-4,14%"
"27.02.2025","5,32","5,33","5,40","5,29","4,76M","-0,75%"
"26.02.2025","5,36","5,36","5,43","5,32","4,63M","0,19%"
"25.02.2025","5,35","5,28","5,38","5,25","5,16M","1,33%"
"24.02.2025","5,28","5,38","5,43","5,26","3,16M","-1,86%"
"21.02.2025","5,38","5,39","5,42","5,29","4,54M","0,37%"
"20.02.2025","5,36","5,44","5,52","5,35","5,86M","-0,19%"
"19.02.2025","5,37","5,33","5,46","5,31","3,27M","-0,56%"
"18.02.2025","5,40","5,55","5,58","5,39","4,60M","-2,17%"
"17.02.2025","5,52","5,47","5,63","5,47","6,40M","0,73%"
"14.02.2025","5,48","5,24","5,50","5,21","10,63M","6,00%"
"13.02.2025","5,17","5,00","5,17","4,97","6,08M","3,19%"
"12.02.2025","5,01","5,28","5,29","5,00","13,15M","-5,83%"
"11.02.2025","5,32","5,31","5,37","5,24","6,70M","-1,48%"
"10.02.2025","5,40","5,34","5,41","5,33","4,29M","1,12%"
"07.02.2025","5,34","5,46","5,58","5,31","6,37M","-2,20%"
"06.02.2025","5,46","5,29","5,49","5,29","5,96M","4,00%"
"05.02.2025","5,25","5,25","5,30","5,21","3,92M","-0,38%"
"04.02.2025","5,27","5,34","5,36","5,23","4,26M","-1,31%"
"03.02.2025","5,34","5,40","5,51","5,32","4,98M","-2,20%"
"31.01.2025","5,46","5,55","5,62","5,40","6,69M","-1,80%"
"30.01.2025","5,56","5,24","5,65","5,24","9,41M","6,51%"
"29.01.2025","5,22","5,28","5,31","5,22","4,67M","-0,76%"
"28.01.2025","5,26","5,31","5,33","5,25","3,54M","-1,87%"
"27.01.2025","5,36","5,14","5,36","5,12","5,64M","4,08%"
"24.01.2025","5,15","5,25","5,29","5,14","4,37M","-1,34%"
"23.01.2025","5,22","5,19","5,23","5,16","4,77M","0,58%"
"22.01.2025","5,19","5,25","5,32","5,13","7,98M","-1,33%"
"21.01.2025","5,26","5,13","5,26","5,09","6,17M","1,74%"
"20.01.2025","5,17","5,10","5,17","5,02","6,99M","0,98%"
"17.01.2025","5,12","4,92","5,15","4,92","10,98M","5,13%"
"16.01.2025","4,87","5,05","5,10","4,83","6,75M","-3,94%"
"15.01.2025","5,07","4,85","5,08","4,85","7,51M","4,75%"
"14.01.2025","4,84","4,98","5,02","4,84","7,54M","-2,22%"
"13.01.2025","4,95","4,93","5,05","4,87","10,04M","2,06%"
"10.01.2025","4,85","4,74","4,88","4,66","9,59M","2,97%"
"09.01.2025","4,71","4,65","4,72","4,63","5,59M","1,51%"
"08.01.2025","4,64","4,79","4,82","4,60","8,86M","-2,93%"
"07.01.2025","4,78","5,05","5,09","4,74","12,44M","-3,84%"
"06.01.2025","4,97","4,91","4,98","4,86","10,35M","2,66%"
"03.01.2025","4,84","4,99","5,02","4,84","25,30M","-3,17%"
"02.01.2025","5,00","5,16","5,16","4,96","10,66M","-2,14%"
"30.12.2024","5,11","4,99","5,19","4,99","6,74M","2,79%"
"27.12.2024","4,97","5,11","5,18","4,97","8,60M","-3,28%"
"26.12.2024","5,14","5,16","5,23","5,08","5,84M","0,19%"
"23.12.2024","5,13","5,13","5,19","5,06","5,89M","0,00%"
"20.12.2024","5,13","5,19","5,24","5,11","8,27M","-1,52%"
