"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"03.06.2025","8,93","8,76","8,95","8,69","9,32M","1,59%"
"02.06.2025","8,79","8,66","8,93","8,66","12,92M","5,14%"
"30.05.2025","8,36","8,72","8,72","8,30","15,14M","-4,35%"
"29.05.2025","8,74","8,70","8,87","8,68","7,27M","0,46%"
"28.05.2025","8,70","8,85","8,87","8,68","6,65M","-1,58%"
"27.05.2025","8,84","8,64","8,91","8,62","7,17M","2,91%"
"26.05.2025","8,59","8,52","8,61","8,51","2,84M","0,94%"
"23.05.2025","8,51","8,41","8,55","8,38","6,17M","0,24%"
"22.05.2025","8,49","8,50","8,64","8,48","7,98M","-0,12%"
"21.05.2025","8,50","8,60","8,61","8,50","7,45M","-1,16%"
"20.05.2025","8,60","8,67","8,70","8,54","9,15M","-0,35%"
"19.05.2025","8,63","8,67","8,79","8,61","6,10M","-0,69%"
"16.05.2025","8,69","8,62","8,72","8,56","5,53M","0,23%"
"15.05.2025","8,67","8,62","8,72","8,60","5,42M","0,81%"
"14.05.2025","8,60","8,63","8,69","8,54","6,06M","-0,35%"
"13.05.2025","8,63","8,43","8,65","8,37","5,67M","2,49%"
"12.05.2025","8,42","8,49","8,59","8,39","15,10M","2,06%"
"09.05.2025","8,25","8,31","8,36","8,07","11,16M","-0,24%"
"08.05.2025","8,27","8,17","8,34","8,13","7,82M","2,20%"
"07.05.2025","8,09","8,23","8,27","8,01","9,22M","-1,09%"
"06.05.2025","8,18","8,20","8,34","8,17","8,32M","0,12%"
"05.05.2025","8,17","8,25","8,35","8,16","8,44M","-0,84%"
"02.05.2025","8,24","8,34","8,45","8,24","10,37M","-2,02%"
"30.04.2025","8,41","8,56","8,57","8,31","12,03M","-2,44%"
"29.04.2025","8,62","8,62","8,76","8,51","14,73M","-0,46%"
"28.04.2025","8,66","8,63","8,76","8,55","6,46M","0,81%"
"25.04.2025","8,59","8,57","8,61","8,51","8,41M","-0,35%"
"24.04.2025","8,62","8,37","8,63","8,37","9,54M","2,62%"
"23.04.2025","8,40","8,50","8,61","8,40","10,18M","1,08%"
"22.04.2025","8,31","8,29","8,35","8,19","11,09M","0,12%"
"17.04.2025","8,30","8,36","8,39","8,27","11,57M","-0,48%"
"16.04.2025","8,34","8,25","8,38","8,20","10,87M","0,85%"
"15.04.2025","8,27","8,45","8,46","8,26","12,14M","-1,78%"
"14.04.2025","8,42","8,27","8,48","8,20","16,52M","3,19%"
"11.04.2025","8,16","8,10","8,22","7,98","16,42M","1,37%"
"10.04.2025","8,05","8,21","8,31","7,91","22,80M","-2,54%"
"09.04.2025","8,26","7,73","8,29","7,67","32,63M","5,63%"
"08.04.2025","7,82","8,12","8,18","7,72","25,26M","-2,37%"
"07.04.2025","8,01","8,24","8,37","7,85","30,73M","-4,07%"
"04.04.2025","8,35","8,60","8,60","8,31","18,82M","-5,22%"
"03.04.2025","8,81","9,00","9,03","8,79","12,96M","-2,87%"
"02.04.2025","9,07","9,21","9,21","8,94","8,71M","-1,84%"
"01.04.2025","9,24","8,96","9,27","8,92","13,86M","3,24%"
"31.03.2025","8,95","9,31","9,33","8,92","17,80M","-4,18%"
"28.03.2025","9,34","9,65","9,65","9,27","6,74M","-3,21%"
"27.03.2025","9,65","9,70","9,74","9,60","11,52M","-0,10%"
"26.03.2025","9,66","9,60","9,70","9,60","7,42M","0,73%"
"25.03.2025","9,59","9,54","9,66","9,49","8,94M","0,74%"
"24.03.2025","9,52","9,46","9,59","9,44","6,67M","0,95%"
"21.03.2025","9,43","9,48","9,52","9,38","12,26M","-0,63%"
"20.03.2025","9,49","9,50","9,59","9,44","5,43M","-0,52%"
"19.03.2025","9,54","9,47","9,59","9,39","6,22M","0,95%"
"18.03.2025","9,45","9,48","9,53","9,40","6,10M","0,11%"
"17.03.2025","9,44","9,36","9,50","9,26","7,95M","0,85%"
"14.03.2025","9,36","9,16","9,41","9,14","7,28M","2,63%"
